h1	h2	h3	h4	h5
0	1	0	0	0
0	0	1	1	0
70	71	160	163	9
7	19	3	5	44
15	9	20	19	2
0	3	2	5	1
3	1	1	3	1
70	71	160	163	9
0	0	1	0	1
0	0	0	1	0
1	3	1	3	0
18	12	22	41	0
34	32	58	33	19
0	0	2	4	0
7	6	3	5	1
18	12	22	41	0
70	71	160	163	9
18	9	8	5	8
3	4	4	3	1
0	1	0	1	0
0	4	1	2	0
2	1	1	1	0
40	29	69	76	7
3	3	3	1	1
1	0	0	0	0
3	7	11	2	3
40	29	69	76	7
0	0	2	0	2
0	1	1	0	0
0	0	0	1	1
40	29	69	76	7
1	0	0	0	0
1	1	0	0	0
28	23	38	34	7
3	4	2	3	1
36	33	15	19	8
1	0	4	1	0
0	0	0	0	0
0	0	0	0	1
2	1	1	4	0
33	24	32	35	5
0	1	1	0	0
18	9	8	5	8
6	6	4	6	1
1	1	1	3	0
18	12	22	41	0
11	43	8	5	105
13	22	11	4	2
0	0	0	0	1
7	19	3	5	44
30	30	42	23	18
11	5	7	2	5
1	10	3	2	1
1	0	0	1	0
1	2	2	0	1
0	0	2	0	0
0	0	1	0	0
63	114	51	37	61
31	39	31	37	8
0	0	0	1	0
0	2	1	4	0
9	11	10	7	3
1	0	0	0	0
1	0	0	1	0
0	3	0	0	3
1	0	1	0	1
34	32	58	33	19
63	114	51	37	61
1	0	0	0	0
28	23	38	34	7
12	6	2	2	3
34	32	58	33	19
0	0	0	1	0
0	0	0	1	0
70	71	160	163	9
7	6	3	5	1
0	0	1	0	0
1	0	0	0	0
10	6	6	6	4
1	0	1	0	0
3	0	4	2	0
0	0	1	0	0
0	1	0	0	0
2	5	2	8	0
0	0	1	0	0
2	3	5	7	3
0	1	4	3	0
0	4	2	8	0
11	10	21	16	4
0	1	0	0	0
31	39	31	37	8
30	30	42	23	18
0	0	0	1	0
34	32	58	33	19
34	32	58	33	19
5	4	4	5	3
0	0	0	1	0
2	3	4	3	0
1	0	0	0	0
0	0	0	1	0
1	1	0	0	0
0	0	0	0	1
2	2	3	1	0
7	6	5	7	0
63	114	51	37	61
70	71	160	163	9
0	0	4	0	0
30	30	42	23	18
0	0	2	1	0
12	6	2	2	3
26	41	32	40	11
14	6	10	10	1
0	1	4	7	0
19	6	16	14	2
70	71	160	163	9
2	1	4	4	0
1	2	2	3	0
7	19	3	5	44
11	10	21	16	4
36	33	15	19	8
40	29	69	76	7
1	0	1	3	1
0	0	0	1	0
10	6	6	6	4
1	0	0	1	0
1	2	2	4	0
40	29	69	76	7
7	19	3	5	44
1	2	0	0	3
1	4	3	3	0
0	0	0	1	0
31	39	31	37	8
33	24	32	35	5
28	23	38	34	7
4	0	1	1	0
0	1	0	0	1
0	0	0	0	0
3	5	3	2	1
9	11	5	2	10
34	32	58	33	19
0	1	2	0	0
1	0	1	1	0
2	5	0	2	0
40	29	69	76	7
3	1	6	3	0
70	71	160	163	9
3	5	11	11	1
5	3	6	2	1
2	6	1	0	1
63	114	51	37	61
34	32	58	33	19
11	8	5	1	9
0	2	2	0	0
0	1	2	3	0
0	0	1	0	2
0	3	1	1	0
2	6	1	4	1
1	4	4	1	0
0	0	1	0	0
18	12	22	41	0
9	6	4	4	4
